month,day,hr,total_volume
1,1,1,1165
1,1,2,1306
1,1,3,930
1,1,4,818
1,1,5,675
1,1,6,630
1,1,7,633
1,1,8,1073
1,1,9,1223
1,1,10,1919
1,1,11,2075
1,1,12,2338
1,1,13,2649
1,1,14,2728
1,1,15,2762
1,1,16,2798
1,1,17,2835
1,1,18,1979
1,1,19,1763
1,1,20,1441
1,1,21,1326
1,1,22,1275
1,1,23,1099
1,1,24,929
1,2,1,712
1,2,2,602
1,2,3,537
1,2,4,540
1,2,5,623
1,2,6,793
1,2,7,1260
1,2,8,1495
1,2,9,2067
1,2,10,2362
1,2,11,2694
1,2,12,3037
1,2,13,3126
1,2,14,2662
1,2,15,2878
1,2,16,3055
1,2,17,3312
1,2,18,2934
1,2,19,2174
1,2,20,2041
1,2,21,1821
1,2,22,1696
1,2,23,1406
1,2,24,1121
1,3,1,885
1,3,2,715
1,3,3,642
1,3,4,674
1,3,5,651
1,3,6,688
1,3,7,957
1,3,8,1391
1,3,9,1952
1,3,10,2131
1,3,11,2226
1,3,12,2484
1,3,13,2932
1,3,14,2946
1,3,15,2939
1,3,16,2747
1,3,17,2447
1,3,18,2410
1,3,19,1337
1,3,20,2005
1,3,21,1777
1,3,22,1481
1,3,23,1393
1,3,24,1097
1,4,1,1070
1,4,2,840
1,4,3,662
1,4,4,652
1,4,5,587
1,4,6,639
1,4,7,673
1,4,8,881
1,4,9,1671
1,4,10,2294
1,4,11,2459
1,4,12,2679
1,4,13,3177
1,4,14,3652
1,4,15,3236
1,4,16,3162
1,4,17,3134
1,4,18,2668
1,4,19,1379
1,4,20,1220
1,4,21,1000
1,4,22,983
1,4,23,945
1,4,24,868
1,5,1,594
1,5,2,475
1,5,3,507
1,5,4,473
1,5,5,575
1,5,6,856
1,5,7,1370
1,5,8,1710
1,5,9,1972
1,5,10,2497
1,5,11,2806
1,5,12,2485
1,5,13,2990
1,5,14,2970
1,5,15,3140
1,5,16,3089
1,5,17,2766
1,5,18,3009
1,5,19,1737
1,5,20,1601
1,5,21,1274
1,5,22,1144
1,5,23,957
1,5,24,763
1,6,1,621
1,6,2,515
1,6,3,455
1,6,4,507
1,6,5,524
1,6,6,784
1,6,7,1224
1,6,8,1807
1,6,9,1652
1,6,10,2470
1,6,11,2808
1,6,12,2636
1,6,13,2893
1,6,14,3038
1,6,15,3026
1,6,16,3192
1,6,17,3465
1,6,18,2697
1,6,19,2128
1,6,20,1834
1,6,21,1383
1,6,22,1119
1,6,23,953
1,6,24,827
1,7,1,639
1,7,2,507
1,7,3,492
1,7,4,440
1,7,5,491
1,7,6,760
1,7,7,1207
1,7,8,1876
1,7,9,1722
1,7,10,2330
1,7,11,2565
1,7,12,2835
1,7,13,3057
1,7,14,2975
1,7,15,3037
1,7,16,3357
1,7,17,3719
1,7,18,3441
1,7,19,2072
1,7,20,1788
1,7,21,1324
1,7,22,1088
1,7,23,1013
1,7,24,816
1,8,1,594
1,8,2,495
1,8,3,491
1,8,4,446
1,8,5,535
1,8,6,736
1,8,7,1150
1,8,8,1841
1,8,9,1562
1,8,10,2183
1,8,11,2585
1,8,12,2519
1,8,13,2950
1,8,14,3125
1,8,15,3199
1,8,16,2994
1,8,17,2759
1,8,18,2831
1,8,19,2031
1,8,20,1806
1,8,21,1430
1,8,22,1186
1,8,23,1020
1,8,24,835
1,9,1,615
1,9,2,531
1,9,3,466
1,9,4,492
1,9,5,547
1,9,6,698
1,9,7,1101
1,9,8,1914
1,9,9,1733
1,9,10,2432
1,9,11,2938
1,9,12,3068
1,9,13,3282
1,9,14,3341
1,9,15,3421
1,9,16,3599
1,9,17,3860
1,9,18,3335
1,9,19,2473
1,9,20,1927
1,9,21,1607
1,9,22,1282
1,9,23,1229
1,9,24,1016
1,10,1,820
1,10,2,656
1,10,3,578
1,10,4,548
1,10,5,529
1,10,6,569
1,10,7,809
1,10,8,1420
1,10,9,1830
1,10,10,2500
1,10,11,2507
1,10,12,2368
1,10,13,2736
1,10,14,2759
1,10,15,2622
1,10,16,2593
1,10,17,2181
1,10,18,2109
1,10,19,1353
1,10,20,1549
1,10,21,1409
1,10,22,1255
1,10,23,1535
1,10,24,1133
1,11,1,720
1,11,2,708
1,11,3,636
1,11,4,590
1,11,5,511
1,11,6,528
1,11,7,676
1,11,8,904
1,11,9,1665
1,11,10,2186
1,11,11,2367
1,11,12,2658
1,11,13,2949
1,11,14,3354
1,11,15,3087
1,11,16,3329
1,11,17,2928
1,11,18,2367
1,11,19,2022
1,11,20,1660
1,11,21,1602
1,11,22,1148
1,11,23,987
1,11,24,837
1,12,1,610
1,12,2,487
1,12,3,468
1,12,4,454
1,12,5,560
1,12,6,858
1,12,7,1970
1,12,8,1744
1,12,9,2014
1,12,10,2067
1,12,11,2078
1,12,12,2385
1,12,13,2615
1,12,14,2622
1,12,15,2628
1,12,16,2854
1,12,17,3082
1,12,18,2758
1,12,19,2347
1,12,20,2020
1,12,21,1442
1,12,22,1092
1,12,23,946
1,12,24,815
1,13,1,613
1,13,2,518
1,13,3,441
1,13,4,486
1,13,5,481
1,13,6,695
1,13,7,1005
1,13,8,1488
1,13,9,2164
1,13,10,2345
1,13,11,2705
1,13,12,2821
1,13,13,2814
1,13,14,3177
1,13,15,3312
1,13,16,3258
1,13,17,3362
1,13,18,3024
1,13,19,2476
1,13,20,2351
1,13,21,1850
1,13,22,1382
1,13,23,1103
1,13,24,877
1,14,1,605
1,14,2,533
1,14,3,549
1,14,4,531
1,14,5,552
1,14,6,877
1,14,7,1521
1,14,8,1828
1,14,9,2167
1,14,10,2345
1,14,11,2629
1,14,12,2748
1,14,13,3088
1,14,14,3192
1,14,15,3340
1,14,16,3525
1,14,17,3730
1,14,18,3112
1,14,19,2163
1,14,20,1731
1,14,21,1340
1,14,22,1075
1,14,23,905
1,14,24,779
1,15,1,574
1,15,2,512
1,15,3,484
1,15,4,457
1,15,5,529
1,15,6,797
1,15,7,1130
1,15,8,1192
1,15,9,2274
1,15,10,2478
1,15,11,2559
1,15,12,2820
1,15,13,3090
1,15,14,3098
1,15,15,3266
1,15,16,3374
1,15,17,3551
1,15,18,3476
1,15,19,2796
1,15,20,2324
1,15,21,1903
1,15,22,1528
1,15,23,1184
1,15,24,972
1,16,1,667
1,16,2,556
1,16,3,559
1,16,4,580
1,16,5,630
1,16,6,764
1,16,7,1052
1,16,8,1426
1,16,9,1865
1,16,10,2515
1,16,11,2839
1,16,12,3013
1,16,13,3319
1,16,14,3382
1,16,15,3425
1,16,16,3441
1,16,17,3083
1,16,18,2660
1,16,19,2134
1,16,20,2085
1,16,21,1798
1,16,22,1471
1,16,23,1263
1,16,24,1101
1,17,1,788
1,17,2,721
1,17,3,643
1,17,4,638
1,17,5,589
1,17,6,652
1,17,7,803
1,17,8,1436
1,17,9,2092
1,17,10,2127
1,17,11,2328
1,17,12,2350
1,17,13,2466
1,17,14,2559
1,17,15,2612
1,17,16,2701
1,17,17,2720
1,17,18,2583
1,17,19,1879
1,17,20,1555
1,17,21,1471
1,17,22,1285
1,17,23,1203
1,17,24,1068
1,18,1,826
1,18,2,699
1,18,3,644
1,18,4,633
1,18,5,559
1,18,6,534
1,18,7,624
1,18,8,993
1,18,9,1412
1,18,10,1932
1,18,11,2027
1,18,12,2299
1,18,13,2515
1,18,14,2721
1,18,15,2712
1,18,16,2581
1,18,17,2291
1,18,18,2195
1,18,19,1546
1,18,20,1392
1,18,21,1241
1,18,22,1065
1,18,23,919
1,18,24,759
1,19,1,597
1,19,2,500
1,19,3,500
1,19,4,471
1,19,5,536
1,19,6,747
1,19,7,1052
1,19,8,1716
1,19,9,1795
1,19,10,2498
1,19,11,2697
1,19,12,2830
1,19,13,3145
